from_bus,to_bus,id,name,r_pu,x_pu,b_pu,g_from_pu,b_from_pu,g_to_pu,b_to_pu,rate_a_mva,rate_b_mva,rate_c_mva,length_km,in_service,cable_km
20007,20020,1,345osm_신옥천_345-청원_345_1,0.000778,0.008345,0.175871,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,29.91,1,0.0
20007,20020,2,345osm_신옥천_345-청원_345_2,0.000778,0.008345,0.175871,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,29.91,1,0.0
20025,20087,1,345osm_신마산_345-신김해_345_1,0.000804,0.008627,0.18181,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,30.92,1,0.0
20029,20030,1,345osm_화성_345-신온양_345_1,0.000852,0.009146,0.192746,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,32.78,1,0.0
20029,20030,2,345osm_화성_345-신온양_345_2,0.000852,0.009146,0.192746,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,32.78,1,0.0
20017,20018,1,345osm_고령_345-서대구_345_1,0.000895,0.0096,0.202331,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.41,1,0.0
20017,20018,2,345osm_고령_345-서대구_345_2,0.000895,0.0096,0.202331,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.41,1,0.0
20032,20056,1,345osm_신진천_345-서안성_345_1,0.000902,0.009684,0.204095,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.71,1,0.0
20032,20056,2,345osm_신진천_345-서안성_345_2,0.000902,0.009684,0.204095,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.71,1,0.0
20032,20056,3,345osm_신진천_345-서안성_345_3,0.000902,0.009684,0.204095,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.71,1,0.0
20032,20056,4,345osm_신진천_345-서안성_345_4,0.000902,0.009684,0.204095,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.71,1,0.0
20041,20088,1,345osm_신화순_345-신강진_345_1,0.000909,0.009751,0.205506,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.95,1,0.0
20041,20088,2,345osm_신화순_345-신강진_345_2,0.000909,0.009751,0.205506,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,34.95,1,0.0
20015,20016,1,345osm_대구_345-신경산_345_1,0.000973,0.01044,0.22003,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,37.42,1,0.0
20015,20016,2,345osm_대구_345-신경산_345_2,0.000973,0.01044,0.22003,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,37.42,1,0.0
20015,20016,3,345osm_대구_345-신경산_345_3,0.000973,0.01044,0.22003,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,37.42,1,0.0
20015,20016,4,345osm_대구_345-신경산_345_4,0.000973,0.01044,0.22003,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,37.42,1,0.0
20008,20035,1,345osm_신용인_345-동서울_345_1,0.001028,0.011029,0.232436,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,39.53,1,0.0
20008,20035,2,345osm_신용인_345-동서울_345_2,0.001028,0.011029,0.232436,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,39.53,1,0.0
20008,20035,3,345osm_신용인_345-동서울_345_3,0.001028,0.011029,0.232436,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,39.53,1,0.0
20008,20035,4,345osm_신용인_345-동서울_345_4,0.001028,0.011029,0.232436,0.0,0.0,0.0,0.0,2173.0,2390.0,2716.0,39.53,1,0.0
