Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source
2023,14.05803,13.68269,16.82186,2.79796
2024,14.05803,13.68269,16.82186,2.79796
2025,14.05803,13.68269,16.82186,2.79796
2026,14.05803,13.68269,16.82186,2.79796
2027,14.05803,13.68269,16.82186,2.79796
2028,14.05803,13.68269,16.82186,2.79796
2029,14.05803,13.68269,16.82186,2.79796
2030,14.05803,13.68269,16.82186,2.79796
2031,14.05803,13.68269,16.82186,2.79796
2032,14.05803,13.68269,16.82186,2.79796
2033,14.05803,13.68269,16.82186,2.79796
2034,14.05803,13.68269,16.82186,2.79796
2035,14.05803,13.68269,16.82186,2.79796
2036,14.05803,13.68269,16.82186,2.79796
2037,14.05803,13.68269,16.82186,2.79796
2038,14.05803,13.68269,16.82186,2.79796
2039,14.05803,13.68269,16.82186,2.79796
2040,14.05803,13.68269,16.82186,2.79796
2041,14.05803,13.68269,16.82186,2.79796
2042,14.05803,13.68269,16.82186,2.79796
2043,14.05803,13.68269,16.82186,2.79796
2044,14.05803,13.68269,16.82186,2.79796
2045,14.05803,13.68269,16.82186,2.79796
2046,14.05803,13.68269,16.82186,2.79796
2047,14.05803,13.68269,16.82186,2.79796
2048,14.05803,13.68269,16.82186,2.79796
2049,14.05803,13.68269,16.82186,2.79796
2050,14.05803,13.68269,16.82186,2.79796
2051,14.05803,13.68269,16.82186,2.79796
2052,14.05803,13.68269,16.82186,2.79796
2053,14.05803,13.68269,16.82186,2.79796
2054,14.05803,13.68269,16.82186,2.79796
2055,14.05803,13.68269,16.82186,2.79796
2056,14.05803,13.68269,16.82186,2.79796
2057,14.05803,13.68269,16.82186,2.79796
2058,14.05803,13.68269,16.82186,2.79796
2059,14.05803,13.68269,16.82186,2.79796
2060,14.05803,13.68269,16.82186,2.79796
2061,14.05803,13.68269,16.82186,2.79796
2062,14.05803,13.68269,16.82186,2.79796
2063,14.05803,13.68269,16.82186,2.79796
2064,14.05803,13.68269,16.82186,2.79796
2065,14.05803,13.68269,16.82186,2.79796
2066,14.05803,13.68269,16.82186,2.79796
2067,14.05803,13.68269,16.82186,2.79796
2068,14.05803,13.68269,16.82186,2.79796
2069,14.05803,13.68269,16.82186,2.79796
2070,14.05803,13.68269,16.82186,2.79796
2071,14.05803,13.68269,16.82186,2.79796
2072,14.05803,13.68269,16.82186,2.79796
2073,14.05803,13.68269,16.82186,2.79796
2074,14.05803,13.68269,16.82186,2.79796
2075,14.05803,13.68269,16.82186,2.79796
2076,14.05803,13.68269,16.82186,2.79796
2077,14.05803,13.68269,16.82186,2.79796
2078,14.05803,13.68269,16.82186,2.79796
2079,14.05803,13.68269,16.82186,2.79796
2080,14.05803,13.68269,16.82186,2.79796
2081,14.05803,13.68269,16.82186,2.79796
2082,14.05803,13.68269,16.82186,2.79796
2083,14.05803,13.68269,16.82186,2.79796
2084,14.05803,13.68269,16.82186,2.79796
2085,14.05803,13.68269,16.82186,2.79796
2086,14.05803,13.68269,16.82186,2.79796
2087,14.05803,13.68269,16.82186,2.79796
2088,14.05803,13.68269,16.82186,2.79796
2089,14.05803,13.68269,16.82186,2.79796
2090,14.05803,13.68269,16.82186,2.79796
2091,14.05803,13.68269,16.82186,2.79796
2092,14.05803,13.68269,16.82186,2.79796
2093,14.05803,13.68269,16.82186,2.79796
2094,14.05803,13.68269,16.82186,2.79796
2095,14.05803,13.68269,16.82186,2.79796
2096,14.05803,13.68269,16.82186,2.79796
2097,14.05803,13.68269,16.82186,2.79796
2098,14.05803,13.68269,16.82186,2.79796
2099,14.05803,13.68269,16.82186,2.79796
2100,14.05803,13.68269,16.82186,2.79796
2101,14.05803,13.68269,16.82186,2.79796
2102,14.05803,13.68269,16.82186,2.79796
2103,14.05803,13.68269,16.82186,2.79796
2104,14.05803,13.68269,16.82186,2.79796
2105,14.05803,13.68269,16.82186,2.79796
2106,14.05803,13.68269,16.82186,2.79796
2107,14.05803,13.68269,16.82186,2.79796
2108,14.05803,13.68269,16.82186,2.79796
2109,14.05803,13.68269,16.82186,2.79796
2110,14.05803,13.68269,16.82186,2.79796
2111,14.05803,13.68269,16.82186,2.79796
2112,14.05803,13.68269,16.82186,2.79796
2113,14.05803,13.68269,16.82186,2.79796
2114,14.05803,13.68269,16.82186,2.79796
2115,14.05803,13.68269,16.82186,2.79796
2116,14.05803,13.68269,16.82186,2.79796
2117,14.05803,13.68269,16.82186,2.79796
2118,14.05803,13.68269,16.82186,2.79796
2119,14.05803,13.68269,16.82186,2.79796
2120,14.05803,13.68269,16.82186,2.79796
2121,14.05803,13.68269,16.82186,2.79796
2122,14.05803,13.68269,16.82186,2.79796
2123,14.05803,13.68269,16.82186,2.79796
2124,14.05803,13.68269,16.82186,2.79796
2125,14.05803,13.68269,16.82186,2.79796
2126,14.05803,13.68269,16.82186,2.79796
2127,14.05803,13.68269,16.82186,2.79796
2128,14.05803,13.68269,16.82186,2.79796
2129,14.05803,13.68269,16.82186,2.79796
2130,14.05803,13.68269,16.82186,2.79796
2131,14.05803,13.68269,16.82186,2.79796
2132,14.05803,13.68269,16.82186,2.79796
2133,14.05803,13.68269,16.82186,2.79796
2134,14.05803,13.68269,16.82186,2.79796
2135,14.05803,13.68269,16.82186,2.79796
2136,14.05803,13.68269,16.82186,2.79796
2137,14.05803,13.68269,16.82186,2.79796
2138,14.05803,13.68269,16.82186,2.79796
2139,14.05803,13.68269,16.82186,2.79796
2140,14.05803,13.68269,16.82186,2.79796
2141,14.05803,13.68269,16.82186,2.79796
2142,14.05803,13.68269,16.82186,2.79796
2143,14.05803,13.68269,16.82186,2.79796
2144,14.05803,13.68269,16.82186,2.79796
2145,14.05803,13.68269,16.82186,2.79796
2146,14.05803,13.68269,16.82186,2.79796
2147,14.05803,13.68269,16.82186,2.79796
2148,14.05803,13.68269,16.82186,2.79796
2149,14.05803,13.68269,16.82186,2.79796
2150,14.05803,13.68269,16.82186,2.79796
2151,14.05803,13.68269,16.82186,2.79796
2152,14.05803,13.68269,16.82186,2.79796
2153,14.05803,13.68269,16.82186,2.79796
2154,14.05803,13.68269,16.82186,2.79796
2155,14.05803,13.68269,16.82186,2.79796
2156,14.05803,13.68269,16.82186,2.79796
2157,14.05803,13.68269,16.82186,2.79796
2158,14.05803,13.68269,16.82186,2.79796
2159,14.05803,13.68269,16.82186,2.79796
2160,14.05803,13.68269,16.82186,2.79796
2161,14.05803,13.68269,16.82186,2.79796
2162,14.05803,13.68269,16.82186,2.79796
2163,14.05803,13.68269,16.82186,2.79796
2164,14.05803,13.68269,16.82186,2.79796
2165,14.05803,13.68269,16.82186,2.79796
2166,14.05803,13.68269,16.82186,2.79796
2167,14.05803,13.68269,16.82186,2.79796
2168,14.05803,13.68269,16.82186,2.79796
2169,14.05803,13.68269,16.82186,2.79796
2170,14.05803,13.68269,16.82186,2.79796
2171,14.05803,13.68269,16.82186,2.79796
2172,14.05803,13.68269,16.82186,2.79796
2173,14.05803,13.68269,16.82186,2.79796
2174,14.05803,13.68269,16.82186,2.79796
2175,14.05803,13.68269,16.82186,2.79796
2176,14.05803,13.68269,16.82186,2.79796
2177,14.05803,13.68269,16.82186,2.79796
2178,14.05803,13.68269,16.82186,2.79796
2179,14.05803,13.68269,16.82186,2.79796
2180,14.05803,13.68269,16.82186,2.79796
2181,14.05803,13.68269,16.82186,2.79796
2182,14.05803,13.68269,16.82186,2.79796
2183,14.05803,13.68269,16.82186,2.79796
2184,14.05803,13.68269,16.82186,2.79796
2185,14.05803,13.68269,16.82186,2.79796
2186,14.05803,13.68269,16.82186,2.79796
2187,14.05803,13.68269,16.82186,2.79796
2188,14.05803,13.68269,16.82186,2.79796
2189,14.05803,13.68269,16.82186,2.79796
2190,14.05803,13.68269,16.82186,2.79796
2191,14.05803,13.68269,16.82186,2.79796
2192,14.05803,13.68269,16.82186,2.79796
2193,14.05803,13.68269,16.82186,2.79796
2194,14.05803,13.68269,16.82186,2.79796
2195,14.05803,13.68269,16.82186,2.79796
2196,14.05803,13.68269,16.82186,2.79796
2197,14.05803,13.68269,16.82186,2.79796
2198,14.05803,13.68269,16.82186,2.79796
2199,14.05803,13.68269,16.82186,2.79796
2200,14.05803,13.68269,16.82186,2.79796
2201,14.05803,13.68269,16.82186,2.79796
2202,14.05803,13.68269,16.82186,2.79796
2203,14.05803,13.68269,16.82186,2.79796
2204,14.05803,13.68269,16.82186,2.79796
2205,14.05803,13.68269,16.82186,2.79796
2206,14.05803,13.68269,16.82186,2.79796
2207,14.05803,13.68269,16.82186,2.79796
2208,14.05803,13.68269,16.82186,2.79796
2209,14.05803,13.68269,16.82186,2.79796
2210,14.05803,13.68269,16.82186,2.79796
2211,14.05803,13.68269,16.82186,2.79796
2212,14.05803,13.68269,16.82186,2.79796
2213,14.05803,13.68269,16.82186,2.79796
2214,14.05803,13.68269,16.82186,2.79796
2215,14.05803,13.68269,16.82186,2.79796
2216,14.05803,13.68269,16.82186,2.79796
2217,14.05803,13.68269,16.82186,2.79796
2218,14.05803,13.68269,16.82186,2.79796
2219,14.05803,13.68269,16.82186,2.79796
2220,14.05803,13.68269,16.82186,2.79796
2221,14.05803,13.68269,16.82186,2.79796
