Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AP,elec_BR_AM,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MT,elec_BR_MS,elec_BR_MG,elec_BR_PA,elec_BR_PB,elec_BR_PR,elec_BR_PE,elec_BR_PI,elec_BR_RJ,elec_BR_RN,elec_BR_RS,elec_BR_RO,elec_BR_RR,elec_BR_SC,elec_BR_SP,elec_BR_SE,elec_BR_TO
86,80.496,1570.603,966.448,288.115,4084.262,2966.239,210.426,852.053,1967.379,1332.335,10757.247,1278.13,2920.145,4119.149,845.557,1273.672,2094.926,9423.969,4861.296,5257.839,3578.123,152.008,4303.603,2260.056,114.942,7848.671,713.997
87,73.57,1412.209,1002.487,271.77,3778.807,2885.085,202.168,773.521,1886.05,1313.493,10028.548,1267.098,2737.417,4794.054,787.676,1107.941,2081.104,9425.354,4822.437,6168.615,4649.695,168.314,4099.175,2063.707,97.843,7774.225,692.256
88,65.173,1264.663,1014.977,261.092,3651.126,2650.157,168.213,667.962,1934.445,1301.704,9145.546,1078.495,2527.605,6085.142,699.99,970.521,1854.075,9692.684,4575.39,6226.556,5051.275,191.728,3535.713,1939.176,77.077,8421.043,673.969
89,48.178,1129.06,995.522,285.901,4040.496,2295.124,101.888,603.308,1726.073,1194.175,8021.994,903.619,2528.524,7800.284,651.052,946.12,1757.375,10092.541,4402.043,6140.334,5033.283,204.699,3187.734,1888.141,53.566,9126.903,738.345
90,34.121,1293.038,967.35,291.007,4902.545,1842.706,57.364,588.7,1627.224,1114.187,7303.156,703.133,2314.867,9981.375,511.83,1341.03,1514.717,10434.132,4329.498,6171.41,5053.779,190.077,2717.301,1899.583,34.947,9294.025,1057.633
91,15.1,1262.516,951.982,283.897,5258.401,1661.092,22.208,576.497,1672.523,1180.624,6807.334,509.547,2140.385,11791.505,543.795,1560.366,934.365,11132.465,4340.946,6457.645,5004.343,173.541,2751.581,2784.102,30,9731.643,1395.879
92,2.535,1265.355,945.597,284.633,6147.424,1681.915,19,576.153,1892.553,1900.348,6571.759,423.065,2058.9,12614.584,767.322,1632.497,1533.148,11228.932,4346.871,6256.875,5029.931,182.659,2706.942,3128.752,30.5,9825.846,1578.499
93,0,1271.147,947.929,295.024,6259.312,1817.541,20,572.534,1977.655,2026.841,6738.716,422.853,2044.331,12686.713,792.645,1713.6,1140.14,11170.668,4353.281,5809.57,5026.909,194.386,2597.512,3104.264,30.5,10318.267,1654.075
94,0,1045.937,948.403,306.136,6177.163,1812.017,20,570.778,1917.421,2040.624,6782.352,422.676,2047.563,12494.954,754.137,1487.577,1143.298,10907.047,4350.229,5406.255,5028.241,196.272,2320.523,3052.719,30,10238.601,1655.096
95,0,982.342,947.226,305.82,6658.256,1822.117,20,572.745,1758.916,2038.592,6746.209,418.969,2047.952,11563.851,735.95,1237.208,1092.814,10881.171,4350.744,4827.392,5024.346,203.164,2118.487,3017.595,30,9447.843,1527.881
96,0,981.579,946.81,305.8,6726.481,1661.433,20,565.141,1759.101,2041.289,6653.807,412.216,2043.74,11469.747,557.741,979.071,1193.958,10228.771,4346.655,4430.341,5020.97,211.066,1988.699,2929.157,29,8969.082,1242.872
97,0,994.464,946.473,293.783,6325.306,1503.521,19.001,570.884,1560.924,2024.92,6430.833,411.456,2050.236,11037.829,402.496,893.009,1440.142,9988.437,4344.84,3928.541,4995.045,214.899,1623.144,2928.421,28.001,8197.672,1264.432
98,0,993.922,943.386,291.104,6218.477,1309.374,19,569.257,1473.646,2028.281,6130.923,411.105,2046.69,10461.037,312.59,802.443,1457.97,9809.247,4346.776,3240.963,4960.433,211.775,1394.017,2740.074,26.508,7626.121,1440.395
99,0,990.341,939.23,290.466,6297.121,1221.666,19,570.008,1492.599,2010.235,5925.228,410.822,2044.291,10141.722,336.066,784.185,1483.794,9566.046,4303.963,3206.365,4961.375,204.721,1249.865,2007.237,26,7093.71,1439.053
