Time_Index,Demand_fossil_Jetfuel,Demand_SAF_Jetfuel,Demand_Jetfuel,Demand_Flexfuel,Demand_BioDiesel,Demand_Diesel,Demand_Ethanol,Demand_Gasoline,elec_demand_S,elec_demand_NE,elec_demand_N
275,2248,439,1799,62359,8966,80695,3245,8775,8864.506621,16481.84059,9451.033168
276,2248,439,1799,62359,8966,80695,3245,8775,9312.259108,16610.31527,9656.673819
277,2248,439,1799,62359,8966,80695,3245,8775,9602.563372,16784.75702,9624.563514
278,2248,439,1799,62359,8966,80695,3245,8775,9830.358466,17213.16335,9654.652328
279,2248,439,1799,62359,8966,80695,3245,8775,10256.97868,17680.57325,9711.632008
280,2248,439,1799,62359,8966,80695,3245,8775,10904.43386,17605.4537,10001.24593
281,2248,439,1799,62359,8966,80695,3245,8775,10516.6082,16757.1738,10744.40348
282,2248,439,1799,62359,8966,80695,3245,8775,12916.86114,15468.55241,12267.25951
283,2248,439,1799,62359,8966,80695,3245,8775,14208.3529,16825.7435,14666.43177
284,2248,439,1799,62359,8966,80695,3245,8775,13942.41009,18901.68634,16428.94105
285,2248,439,1799,62359,8966,80695,3245,8775,14064.24156,19760.6198,16410.4133
286,2248,439,1799,62359,8966,80695,3245,8775,14222.27013,19926.94738,16346.66269
287,2248,439,1799,62359,8966,80695,3245,8775,14221.18501,19422.04764,16306.02549
288,2248,439,1799,62359,8966,80695,3245,8775,14091.59845,18173.19659,16189.0872
289,2248,439,1799,62359,8966,80695,3245,8775,11392.03077,17388.3828,16928.00117
290,2248,439,1799,62359,8966,80695,3245,8775,9413.710942,17266.98668,17095.312
291,2248,439,1799,62359,8966,80695,3245,8775,8755.641263,17644.57332,16753.10152
292,2248,439,1799,62359,8966,80695,3245,8775,8227.725383,17656.78921,16276.63151
293,2248,439,1799,62359,8966,80695,3245,8775,7935.890657,17424.14267,16070.53248
294,2248,439,1799,62359,8966,80695,3245,8775,8883.464609,17815.4242,15650.42
295,2248,439,1799,62359,8966,80695,3245,8775,10136.71395,18272.09721,14701.50647
296,2248,439,1799,62359,8966,80695,3245,8775,11795.71722,19482.88408,13900.24511
297,2248,439,1799,62359,8966,80695,3245,8775,13491.91305,20597.82951,14308.34978
298,2248,439,1799,62359,8966,80695,3245,8775,13836.39307,20515.09374,15194.84227
299,2248,439,1799,62359,8966,80695,3245,8775,14840.83393,19450.97694,16414.10741
300,2248,439,1799,62359,8966,80695,3245,8775,15420.56891,18713.90382,17434.54062
301,2248,439,1799,62359,8966,80695,3245,8775,15267.43601,18571.49816,16751.51321
302,2248,439,1799,62359,8966,80695,3245,8775,16377.60574,18472.38428,17676.63303
303,2248,439,1799,62359,8966,80695,3245,8775,17208.83532,18310.16635,18149.53492
304,2248,439,1799,62359,8966,80695,3245,8775,16763.87776,18019.06308,18269.68376
305,2248,439,1799,62359,8966,80695,3245,8775,16123.01596,17638.9549,18292.72643
306,2248,439,1799,62359,8966,80695,3245,8775,15247.06846,16128.97737,18712.93291
307,2248,439,1799,62359,8966,80695,3245,8775,14362.70695,17365.43299,18768.44832
308,2248,439,1799,62359,8966,80695,3245,8775,14963.36665,19040.32258,18026.50404
