Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
102,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
103,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
104,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
105,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
106,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
107,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
108,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
109,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
110,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
111,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
112,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
113,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
114,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
115,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
116,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
117,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
118,0.04429569,0.223193482,0.588862298,0.72284597,0.589772727,0.04413416,0.720321528,1.067896051,0.290322908,0.926190752,0.210703751,0.39768256,1.163315625,0.3386073,0.211447766
