Time_Index,Demand_MW,Demand_MW_25,Demand_MW_30,Demand_MW_35,Demand_heat,Demand_Zero,,,,,,
237,65899.13144,69867.50666,73395.59189,76093.73588,8700,0,,,,,,
238,64453.90775,68335.25314,71785.96449,74424.9359,8700,0,,,,,,
239,64948.75541,68859.9,72337.10433,74996.33655,8700,0,,,,,,
240,65930.77867,69901.05965,73430.8392,76130.27894,8700,0,,,,,,
241,63692.45611,67527.9477,70937.8927,73545.68758,8700,0,,,,,,
242,61718.81952,65435.46082,68739.74195,71266.72915,8700,0,,,,,,
243,60666.78873,64320.07786,67568.03572,70051.94906,8700,0,,,,,,
244,60170.98207,63794.41426,67015.82779,69479.44104,8700,0,,,,,,
245,60645.69058,64297.70921,67544.53752,70027.58702,8700,0,,,,,,
246,62218.46221,65965.19146,69296.22228,71843.66663,8700,0,,,,,,
247,65816.65683,69780.06551,73303.73525,75998.50244,8700,0,,,,,,
248,71938.95811,76271.04523,80122.48865,83067.92455,8700,0,,,,,,
249,81418.74323,86321.69287,90680.66179,94014.23369,8700,0,,,,,,
250,85388.07359,90530.05206,95101.52964,98597.61999,8700,0,,,,,,
251,86851.51841,92081.62396,96731.45095,100287.4599,8700,0,,,,,,
252,86793.01898,92019.60176,96666.29683,100219.9106,8700,0,,,,,,
253,83759.67954,88803.59786,93287.89504,96717.31316,8700,0,,,,,,
254,85642.21047,90799.49279,95384.57626,98891.07188,8700,0,,,,,,
255,86078.5587,91262.11744,95870.56198,99394.92324,8700,0,,,,,,
256,85812.91373,90980.47562,95574.69814,99088.18296,8700,0,,,,,,
257,86141.85317,91329.22344,95941.05661,99468.00937,8700,0,,,,,,
258,83752.9665,88796.48057,93280.41834,96709.56161,8700,0,,,,,,
259,80663.04564,85520.48798,89838.99862,93141.62958,8700,0,,,,,,
260,77284.46365,81938.4514,86076.08067,89240.38051,8700,0,,,,,,
261,74131.24833,78595.35282,82564.16633,85599.36236,8700,0,,,,,,
262,70671.15073,74926.89184,78710.45982,81603.9872,8700,0,,,,,,
263,69606.65286,73798.29105,77524.86831,80374.81136,8700,0,,,,,,
264,71402.87315,75702.67781,79525.42049,82448.90717,8700,0,,,,,,
265,68672.57995,72807.96927,76484.53845,79296.23725,8700,0,,,,,,
266,66814.0242,70837.49328,74414.55973,77150.16268,8700,0,,,,,,
267,65660.33867,69614.33404,73129.63487,75818.00184,8700,0,,,,,,
268,65150.1469,69073.41907,72561.40543,75228.88333,8700,0,,,,,,
269,65309.34207,69242.2008,72738.7101,75412.70602,8700,0,,,,,,
270,66460.15059,70462.30978,74020.43067,76741.54477,8700,0,,,,,,
271,69640.21811,73833.87756,77562.25183,80413.56916,8700,0,,,,,,
272,74733.50478,79233.87651,83234.93342,86294.78796,8700,0,,,,,,
273,82589.69089,87563.15375,91984.81247,95366.32711,8700,0,,,,,,
274,84477.97586,89565.14922,94087.90229,97546.73002,8700,0,,,,,,
275,83117.14479,88122.37036,92572.26772,95975.3782,8700,0,,,,,,
276,80324.51614,85161.57259,89461.95916,92750.72952,8700,0,,,,,,
277,76296.68634,80891.19119,84975.93718,88099.79392,8700,0,,,,,,
278,78626.11457,83360.8951,87570.35322,90789.58501,8700,0,,,,,,
279,80570.02195,85421.8625,89735.39288,93034.21512,8700,0,,,,,,
280,81927.01699,86860.57433,91246.75504,94601.13747,8700,0,,,,,,
281,83083.57954,88086.78384,92534.8842,95936.6204,8700,0,,,,,,
282,81262.42507,86155.9614,90506.56141,93833.73309,8700,0,,,,,,
283,78758.45755,83501.20763,87717.75109,90942.40146,8700,0,,,,,,
284,75825.81386,80391.96327,84451.49985,87556.0774,8700,0,,,,,,
285,72927.69442,77319.32218,81223.70023,84209.6185,8700,0,,,,,,
286,69729.40577,73928.43601,77661.58517,80516.55416,8700,0,,,,,,
287,68586.26931,72716.46109,76388.4094,79196.57434,8700,0,,,,,,
288,70252.06463,74482.56883,78243.69992,81120.06842,8700,0,,,,,,
289,67503.5503,71568.5419,75182.52397,77946.35856,8700,0,,,,,,
290,65442.64406,69383.53009,72887.17607,75566.62984,8700,0,,,,,,
291,64119.21427,67980.40478,71413.19742,74038.46529,8700,0,,,,,,
292,63355.84462,67171.06582,70562.98944,73157.00225,8700,0,,,,,,
293,63464.21243,67285.95943,70683.6848,73282.13458,8700,0,,,,,,
294,64495.14505,68378.97371,71831.8928,74472.55261,8700,0,,,,,,
295,67248.45442,71298.08442,74898.40925,77651.79931,8700,0,,,,,,
296,72157.61173,76502.86594,80366.01556,83320.40391,8700,0,,,,,,
297,79569.77755,84361.38445,88621.36408,91879.23277,8700,0,,,,,,
298,80781.96252,85646.56591,89971.44308,93278.94292,8700,0,,,,,,
299,78982.86521,83739.12888,87967.6866,91201.52502,8700,0,,,,,,
300,75758.68336,80320.79025,84376.73282,87478.5618,8700,0,,,,,,
301,70766.09244,75027.55084,78816.20178,81713.6164,8700,0,,,,,,
302,72271.73357,76623.86007,80493.11951,83452.18041,8700,0,,,,,,
303,72912.35031,77303.05407,81206.61063,84191.90065,8700,0,,,,,,
304,74064.11783,78524.17979,82489.39929,85521.84676,8700,0,,,,,,
305,76399.3001,80999.98424,85090.22393,88218.28204,8700,0,,,,,,
306,75326.17116,79862.23263,83895.0195,86979.13991,8700,0,,,,,,
307,73552.00804,77981.2313,81919.03364,84930.51352,8700,0,,,,,,
308,71122.84307,75405.78461,79213.53514,82125.5564,8700,0,,,,,,
309,68936.3069,73087.57757,76778.26608,79600.76279,8700,0,,,,,,
310,66416.03626,70415.53893,73971.29804,76690.60595,8700,0,,,,,,
311,65454.15214,69395.73118,72899.99327,75579.91823,8700,0,,,,,,
312,67048.02193,71085.5821,74675.17625,77420.35989,8700,0,,,,,,
313,64009.88746,67864.49442,71291.43396,73912.22561,8700,0,,,,,,
314,62119.68448,65860.46544,69186.20794,71729.60797,8700,0,,,,,,
315,60959.2859,64630.1889,67893.80637,70389.69558,8700,0,,,,,,
316,60733.91923,64391.25089,67642.80276,70129.46465,8700,0,,,,,,
317,61269.04519,64958.60156,68238.80282,70747.37467,8700,0,,,,,,
318,62644.26136,66416.63178,69770.45889,72335.33697,8700,0,,,,,,
319,65714.04307,69671.27246,73189.4485,75880.01432,8700,0,,,,,,
320,70814.04279,75078.38871,78869.6068,81768.98468,8700,0,,,,,,
321,77446.53585,82110.28341,86256.58965,89427.5253,8700,0,,,,,,
322,77201.03003,81849.99349,85983.15592,89144.0397,8700,0,,,,,,
323,75460.43216,80004.57868,84044.55358,87134.1711,8700,0,,,,,,
324,72607.38605,76979.72518,80866.95467,83839.75838,8700,0,,,,,,
325,68049.22534,72147.07691,75790.27314,78576.4496,8700,0,,,,,,
326,69663.23428,73858.27974,77587.88624,80440.14594,8700,0,,,,,,
327,70506.20151,74752.00956,78526.74654,81413.52031,8700,0,,,,,,
328,71612.8957,75925.34769,79759.33449,82691.42024,8700,0,,,,,,
329,73996.02833,78451.99002,82413.56416,85443.2238,8700,0,,,,,,
330,74041.10166,78499.77762,82463.76488,85495.26998,8700,0,,,,,,
331,73217.31457,77626.38295,81546.26658,84544.04292,8700,0,,,,,,
332,71046.12251,75324.44402,79128.08712,82036.96716,8700,0,,,,,,
333,68770.39867,72911.67853,76593.48469,79409.18854,8700,0,,,,,,
334,66126.41612,70108.47818,73648.7317,76356.18153,8700,0,,,,,,
335,65107.95058,69028.68173,72514.409,75180.15924,8700,0,,,,,,
336,66276.98023,70268.1091,73816.42347,76530.03793,8700,0,,,,,,
